SN; Date; Norm; Prefire; Fire; Dark; Timer; VBAT_load(V); dHV IR; Hi Voltage(V); Faults(HEX)
------;-------;-------;-------;-------;-------;-------;-------;-------;-------;----------------------
37;01.2014;110;222;260;229;27;2.91;0.29;11.77;0000
38;01.2014;110;222;260;232;27;2.91;0.27;11.76;0000
39;01.2014;109;220;258;237;27;>3.0;0.29;11.77;0000
40;01.2014;107;217;254;241;26;2.31;0.24;11.74;0001
41;01.2014;111;224;262;229;27;2.56;0.29;11.76;0000
42;01.2014;103;210;246;0;27;2.49;0.29;11.79;0020
43;01.2014;109;220;258;235;27;2.20;0.00;11.76;0101
44;01.2014;0;30;40;0;28;2.93;0.00;11.81;0122
45;01.2014;105;213;250;236;27;2.35;0.27;11.76;0000
46;01.2014;107;217;254;233;26;2.10;0.27;11.74;0000
47;01.2014;105;213;250;230;27;2.86;0.27;11.77;0000
48;01.2014;106;215;252;229;27;2.63;0.27;11.77;0000
49;01.2014;122;243;284;237;27;2.92;0.27;11.79;0000
50;01.2014;120;240;280;232;27;2.87;0.27;11.79;0000
51;01.2014;116;233;272;231;27;2.85;0.27;11.79;0000
52;01.2014;120;240;280;237;27;2.85;0.29;11.79;0000
53;01.2014;36;93;112;232;27;2.83;0.27;11.77;0002
54;01.2014;111;224;262;235;27;2.83;0.27;11.77;0000
55;01.2014;120;240;280;233;27;2.71;0.29;11.77;0000
56;02.2014;150;293;340;228;28;2.75;0.27;11.77;0000
57;02.2014;113;228;266;235;23;2.67;0.27;11.39;0000
58;02.2014;116;233;272;234;23;2.67;0.25;11.39;0000
59;02.2014;115;232;270;227;23;2.67;0.24;11.39;0000
60;02.2014;145;284;330;232;28;2.53;0.27;11.76;0001
61;02.2014;147;273;314;234;28;2.05;0.27;11.27;0001
62;02.2014;144;267;308;231;28;2.90;0.29;11.79;0000
62;02.2014;150;278;320;231;29;2.90;0.29;11.79;0000
63;02.2014;154;285;328;228;28;2.87;0.29;11.79;0000
64;02.2014;159;294;338;232;28;2.83;0.29;11.79;0000
65;02.2014;92;176;204;233;29;2.83;0.29;11.77;0000
66;02.2014;136;253;292;231;29;2.82;0.29;11.79;0000
67;02.2014;131;245;282;233;28;2.21;0.17;10.95;0011
68;02.2014;131;245;282;229;28;2.22;0.19;11.42;0001
69;02.2014;129;241;278;240;29;2.80;0.27;11.76;0000
100;02.2014;125;234;270;232;23;>3.0;0.24;11.97;0000
100;02.2014;130;243;280;241;23;>3.0;0.24;11.97;0000
101;02.2014;128;239;276;238;23;>3.0;0.30;11.77;0000
102;02.2014;125;234;270;236;25;>3.0;0.30;11.82;0000
103;02.2014;141;262;302;244;26;>3.0;0.29;11.81;0000
104;02.2014;103;196;226;229;26;>3.0;0.20;11.95;0000
105;02.2014;139;259;298;241;25;>3.0;0.19;11.66;0000
106;02.2014;150;278;320;220;24;>3.0;0.27;11.74;0000
107;02.2014;137;255;294;245;26;>3.0;0.30;11.82;0000
108;02.2014;158;292;336;236;24;>3.0;0.30;11.82;0000
109;02.2014;137;255;294;236;26;>3.0;0.30;11.77;0000
