SN;Date;Norm;Prefire;Fire;Timer;Dark;VBAT_load;Hi Voltage;Faults
------;-------;-------;-------;-------;-------;-------;-------;-------;-------
1;01.2014;243;423;483;23;0;2.79;11.74;0000
2;01.2014;248;428;488;23;0;2.79;11.76;0000
6;01.2014;184;364;424;24;0;2.89;11.95;0020
7;01.2014;171;351;411;29;0;2.93;11.77;0020
8;01.2014;181;361;421;27;0;2.98;11.92;0000
9;01.2014;116;255;302;24;0;2.98;11.73;0000
9;01.2014;95;218;260;25;0;2.97;11.73;0000
10;01.2014;187;367;427;27;0;2.99;11.92;0000
10;01.2014;183;363;423;27;0;3.00;11.90;0000
10;01.2014;184;364;424;27;0;2.98;11.90;0000
11;01.2014;113;250;296;22;0;2.67;11.50;0000
12;01.2014;108;241;286;22;0;2.68;11.50;0000
13;01.2014;115;253;300;23;0;2.75;11.53;0000
14;01.2014;123;267;316;24;0;>3.0;11.84;0000
15;01.2014;117;257;304;24;0;2.99;11.71;0000
16;01.2014;114;252;298;22;0;2.64;11.50;0000
17;01.2014;108;219;256;22;0;2.60;11.48;0000
18;01.2014;113;227;266;24;0;>3.0;11.92;0000
19;01.2014;108;219;256;28;0;>3.0;11.92;0000
20;01.2014;120;240;280;24;0;2.85;11.82;0000
21;01.2014;112;226;264;28;0;>3.0;11.90;0000
22;01.2014;213;393;453;24;0;2.90;11.92;0000
23;01.2014;210;390;450;24;0;2.89;11.92;0000
24;01.2014;202;382;442;24;0;2.88;11.92;0000
25;01.2014;213;393;453;24;0;2.87;11.92;0000
26;01.2014;219;399;459;23;0;2.87;11.93;0000
27;01.2014;218;398;458;24;0;2.87;11.93;0000
28;01.2014;211;391;451;24;0;2.87;11.92;0000
29;01.2014;206;386;446;23;0;2.87;11.92;0000
30;01.2014;216;396;456;23;0;2.87;11.93;0000
31;01.2014;211;391;451;23;0;2.87;11.92;0000
32;01.2014;111;224;262;27;0;2.97;11.90;0000
33;01.2014;110;222;260;27;0;2.94;11.77;0000
34;01.2014;108;219;256;27;0;2.92;11.77;0000
