SN; Date; Norm; Fire; Prefire; Drift; Timer; BAT_Level
------;-------;-------;-------;-------;-------;-------;-------
125;2.2014;114;248;215;181;24;2.28
117;2.2014;107;225;196;166;25;2.28
102;2.2014;125;269;233;197;24;2.28
122;2.2014;126;251;220;188;23;2.28
161;2.2014;149;293;257;221;23;2.28
109;2.2014;137;274;240;205;26;2.28
110;2.2014;111;261;224;186;26;2.28
128;2.2014;136;260;229;198;26;2.28
120;2.2014;140;300;260;220;24;2.28
124;2.2014;129;272;237;200;29;2.28
113;2.2014;145;279;246;212;25;2.28
121;2.2014;130;270;235;200;26;2.28
126;2.2014;127;255;223;191;26;2.28
104;2.2014;103;200;176;151;25;2.28
116;2.2014;156;298;263;227;24;2.28
114;2.2014;127;257;225;192;25;2.28
115;2.2014;134;270;236;202;26;2.28
107;2.2014;137;280;245;208;25;2.28
111;2.2014;107;228;198;167;24;2.28
127;2.2014;132;273;238;202;25;2.28
105;2.2014;139;242;217;190;24;2.28
106;2.2014;150;296;260;223;23;2.28
123;2.2014;111;246;213;178;23;2.28
129;2.2014;119;247;215;183;24;2.28
112;2.2014;114;245;213;179;22;2.28
118;2.2014;128;259;227;193;22;2.28
119;2.2014;137;287;250;212;21;2.28
103;2.2014;141;291;254;216;25;2.28
134;2.2014;106;230;199;168;24;2.28
155;2.2014;108;227;198;167;25;2.28
144;2.2014;105;248;213;176;22;2.28
132;2.2014;142;312;270;227;23;2.28
157;2.2014;133;264;232;198;23;2.28
156;2.2014;143;285;250;214;27;2.28
133;2.2014;137;278;243;207;25;2.28
182;2.2014;130;258;226;194;27;2.28
153;2.2014;114;232;206;178;22;2.28
153;2.2014;114;232;206;178;22;2.28
158;2.2014;109;224;196;166;25;2.28
146;2.2014;156;286;254;221;25;2.28
146;2.2014;150;286;252;218;25;2.28
147;2.2014;130;273;238;201;24;2.28
136;2.2014;143;304;264;223;21;2.28
141;2.2014;98;216;187;157;28;2.28
135;2.2014;115;235;205;175;25;2.28
151;2.2014;134;282;245;208;23;2.28
150;2.2014;154;297;262;225;18;2.28
131;2.2014;111;225;197;168;25;2.28
130;2.2014;123;287;246;205;20;2.28
140;2.2014;111;244;211;177;24;2.28
152;2.2014;121;240;211;180;24;2.28
159;2.2014;111;246;213;178;25;2.28
142;2.2014;100;222;192;161;21;2.28
149;2.2014;123;262;228;192;25;2.28
149;2.2014;123;260;226;191;25;2.28
153;2.2014;109;230;200;169;23;2.28
0000200;02.2014;133;270;236;201;25;2.28
0000200;02.2014;133;270;236;201;25;2.28
0000777;01.2014;300;600;525;450;30;2.28
0000269;03.2014;105;237;204;171;24;2.28
0000271;03.2014;122;252;220;187;26;2.28
0000233;02.2014;226;376;339;301;28;2.28
0000232;02.2014;136;280;244;208;23;2.28
0000243;02.2014;111;226;198;168;22;2.28
0000215;02.2014;132;289;250;210;24;2.28
0000231;02.2014;135;300;259;217;28;2.28
0000209;02.2014;149;308;269;228;21;2.28
0000234;02.2014;77;185;158;131;24;2.28
0000205;02.2014;128;274;238;201;23;2.28
0000218;02.2014;132;304;261;218;29;2.28
